date,person,plot,climate,treatment,subplot,position,species,species_full,ID,x_coord,y_coord,rosette_spring_2020,rosette_autmn_2020,area_spring_2020,area_autumn_2020,number_leafs_spring_2020,number_leafs_02.-03.06.2020,number_rosettes_spring_2020,number_flowers_12.-20.05.2020,number_flowers_02/03.06.2020,number_flowers_18.08.2020,number_flowers_5./6.11.2020,seedling_spring_2020,Comments 2020,seedling_autumn_2020,seedling_spring_2018,seedling_autumn_2018,rosette_2019,area_spring_2019,xleaf_spring_2019,number_flowers_spring_2019,number_flowers_July_2019,seedling_spring_2019,seedling_autumn_19,comments,number_flowers_autumn_2019,number_flowers_aug_2019, rosette_2018,area_spring_2018,area_cm2_august18,max_leaf_length_cm,xleaf_spring_2018,leaf_number_august_2018,flowers_1st_harvest,flowers_2nd_harvest,comments
10.05.2019,Julia,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,,8.5,43.5,,,,,7,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,1,bottom left,Bro_ere,Bromus_erectus,1369,36,7.5,5*6,,30,,,,,17,,,,,,,,,4*3.5,14,,9,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,1,bottom left,Bro_ere,Bromus_erectus,1426,,,,,,,,,,,,,,,,,,,4*1.5,6,,3,,,,,,,,,,,,,,,
17.05.2019,Lotte_Julia,1_1,ambient,control,1,bottom left,Dia_car,Dianthus_carth,,23,45,7*9,,63,,,,,,,30,,,,10,,,10*6,60,,,43,,17,,49,52,,,,,,,,,
03.05.2018,Martin,1_1,ambient,control,2,center,Ant_odo,Anthoxanthum_odoratum,,7,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Ant_odo,Anthoxanthum_odoratum,,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Bro_ere,Bromus_erectus,1346,32,26,4*5,,20,,,,,9,,,,,,4,,,3x2,6,,,2,,,,,,1*1,1,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Bro_ere,Bromus_erectus,1427,26.5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3*4,12,,,,,3,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Bro_ere,Bromus_erectus,1417,20,37.5,5*4,,20,,,,,6,,,,,,,,,2x2,4,,,1,,,,,,4*4,16,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,10.5,43,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,17,3,0,0,0,dead Aug 18
03.05.2018,Martin,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0,0,0,dead Aug 18
03.05.2018,Martin,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,39,12,,,,,9,,2,,,,,,,,,,,,36,7,2,,,2 rosettes,,1,,,,20.5,4,18,0,4,
03.05.2018,Martin,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,12,38,,,,,26,,3,2,,2,,,,,,,,,23,,,,,4 rosettes,,,,,,18,4,3,0,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Tra_ori,Tragopogon_orientalis,,3,12,,,,,,,,,,,,,,,,,,,37,,,,,has buds at 10.05.2019,,2,,,,29,3,3,0,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Tra_ori,Tragopogon_orientalis,,12,33,,,,,21,,,,3,,,,,,,,,,14,,,,,,,,,,,19.5,3,3,0,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Tra_ori,Tragopogon_orientalis,,28,45,,,,,,,,,,,,,,,,,,,26,,,,,has buds at 10.05.2019,,,,,,34.5,5,5,0,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Tri_pra,Trifolium_pratense,,29,7,,,,,,,,,,,,,,,,,,,,,,3,,,,,10*9,90,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Tri_pra,Trifolium_pratense,,36,25.5,,,,,,,,,,,,,,,,,,,,,,3,,,,,6*6,36,,,,,0,1,
03.05.2018,Martin,1_1,ambient,control,2,center,Tri_pra,Trifolium_pratense,,18,41,,,,,,,,,,,,,,,,,,,,,,3,,,,,4*4,16,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,2,center,Tri_pra,Trifolium_pratense,,10,35,,,,,,,,,,,,,,,,,,,,,,3,,,,,4*3,12,,,,,0,0,
10.05.2019,Julia,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,7,25,,,,,33,,3,,,2,,,,,,,,,42,,,,,2 rosettes,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,42,36,,,,,26,,3,,,,,,,,,,,,19,,,,,2 rosettes,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,38.5,32.5,,,,,18,,3,1,4,1,,,,,,,,,6,,,,,1 rosette,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,2,center,Pla_lan,Plantago_lanceolata,,16,0,,,,,8,,1,,,,,,,,,,,,5,,,,,1 rosette,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,2,center,Ant_odo,Anthoxanthum_odoratum,,15,47,1*1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.11.2019,Martin,1_1,ambient,control,2,center,Sca_och,Scabiosa_ochroleuca,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
03.05.2018,Martin,1_1,ambient,control,3,top right,Ant_odo,Anthoxanthum_odoratum,,38.5,33,,,,,,,,,,,,,,,,,4x2.5,10,1,,,5,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,3,top right,Ant_odo,Anthoxanthum_odoratum,,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,3,top right,Ant_odo,Anthoxanthum_odoratum,,49.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,3,top right,Ant_odo,Anthoxanthum_odoratum,,46,12,,,,,,,,,,,,,,,,,1x0.5,0.5,,,,,,,,,1*0.5,0.5,,,,,2,0,
03.05.2018,Martin,1_1,ambient,control,3,top right,Tri_pra,Trifolium_pratense,,,,,,,,,,,,,,,,,,9,,,,,,,3,,,,,,,,,,,NA,NA,only seedlings counted
10.05.2019,Julia,1_1,ambient,control,3,top right,Ant_odo,Anthoxanthum_odoratum,,36,48,,,,,,,,,,,,,,,,,1x1,1,,,,1,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,3,top right,Sca_och,Scabiosa_ochroleuca,,18,29,3*3,,9,,,,,,,,6,,,,,,1x1,1,,,,,5,,5,8,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,3,top right,Bro_ere,Bromus_erectus,1340,14,13,4*4,,,,,,,4,,,,1,,2,,,4x2.5,10,,6,,,2,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,3,top right,Ant_odo,Anthoxanthum_odoratum,,36,43,,,,,,,,,,,,,,,,,3x1,3,,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,3,top right,Tra_ori,Tragopogon_orientalis,,33.5,48,,,,,9,23,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,3,top right,Ant_odo,Anthoxanthum_odoratum,,30,6,1*1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,3,top right,Bro_ere,Bromus_erectus,2179,8,35,1*0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,3,top right,Bro_ere,Bromus_erectus,2170,7,40,1*0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,3,top right,Tra_ori,Tragopogon_orientalis,,27,8,,,,,23,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
03.05.2018,Martin/Georg,1_1,ambient,control,4,bottom right,Ant_odo,Anthoxanthum_odoratum,,29.5,14,,,,,,,,,,,,,,,,,,,,,,2,,,,,1*1,1,,,,,2,0,
03.05.2018,Martin/Georg,1_1,ambient,control,4,bottom right,Ant_odo,Anthoxanthum_odoratum,,16,13,,,,,,,,,,,,,,,,,,,,,,2,,,,,2*1,2,,,,,2,0,
03.05.2018,Martin/Georg,1_1,ambient,control,4,bottom right,Ant_odo,Anthoxanthum_odoratum,,15,24.5,,,,,,,,6,,,,1,,,,,0.5x0.5,0.25,,,,2,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin/Georg,1_1,ambient,control,4,bottom right,Ant_odo,Anthoxanthum_odoratum,,3,32,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin/Georg,1_1,ambient,control,4,bottom right,Bro_ere,Bromus_erectus,1395,33,11,5*4,,,,,,,6,,,,1,,1,,,4x4,16,,6,,,,,,,7*5,35,,,,,1,0,
03.05.2018,Martin/Georg,1_1,ambient,control,4,bottom right,Bro_ere,Bromus_erectus,1343,23,41,10*10,,100,,,,,25,,,,,,,,,9x8,72,,24,,,,,,,8*6,48,,,,,2,0,
03.05.2018,Martin/Georg,1_1,ambient,control,4,bottom right,Tra_ori,Tragopogon_orientalis,,16,42,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,18,3,,0,0,
10.05.2019,Julia,1_1,ambient,control,4,bottom right,Bro_ere,Bromus_erectus,1092,34,11.5,4*4,,16,,,,,3,,,,,,,,,7*4,28,,8,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,4,bottom right,Bro_ere,Bromus_erectus,1342,18,32,7*7,,49,,,,,27,,,,,,,,,6*7,42,,11,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,4,bottom right,Tra_ori,Tragopogon_orientalis,,45,32,,,,,7,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,4,bottom right,Tra_ori,Tragopogon_orientalis,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,4,bottom right,Tri_pra,Trifolium_pratense,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,4,bottom right,Tra_ori,Tragopogon_orientalis,,20,38,,,,,22,,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,
06.11.2019,Martin,1_1,ambient,control,4,bottom right,Pla_lan,Plantago_lanceolata,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
05.11.2020,Martin,1_1,ambient,control,4,bottom right,Dia_car,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
03.05.2018,Martin/Georg,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,421,-13,24,,,,,26,4,,,,,,1,,,,,,,14,,,,,,,,,,,29,5,,0,0,
03.05.2018,Martin/Georg,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,6,11.5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,29,4,,0,0,
03.05.2018,Martin/Georg,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,19,20,,,,,11,,,,,,,,,,,,,,6,,,,,,,,,,,26,3,,0,0,
10.05.2019,Julia,1_1,ambient,control,5,top left,Ant_odo,Anthoxanthum_odoratum,,9,32.5,1*1,,1,,,,,2,,,,,,,,,0.5x0.5,0.25,,1,,2,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Ant_odo,Anthoxanthum_odoratum,,44,43.5,,,,,,,,,,,,,,,,,1.5x1,1.5,,2,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Ant_odo,Anthoxanthum_odoratum,,37,49,,,,,,,,,,,,,,,,,0.5x0.5,0.25,,1,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Ant_odo,Anthoxanthum_odoratum,,34,3.5,,,,,,,,,,,,,,,,,0.5x0.5,0.25,,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Bro_ere,Bromus_erectus,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Tri_pra,Trifolium_pratense,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,51,28,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,50,15,,,,,,,,25,,1,,,,,,,,,8,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,46,26,,,,,,,,,,,,,,,,,,,9,,,,,,3,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Ant_odo,Anthoxanthum_odoratum,,41,40,,,,,,,,,,,,,,,,,1.5x0.5,0.75,,3,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Bro_ere,Bromus_erectus,1412,17,-24,,,,,,,,,,,,,,,,,6x4,24,,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Ant_odo,Anthoxanthum_odoratum,,38,47,,,,,,,,,,,,,,,,,1.5x0.5,0.75,,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,47,9,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,22,37,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,0,23,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,5,top left,Sca_och,Scabiosa_ochroleuca,,17,-24,8*7,,56,,,,,,,18,,,,,,,,,,,,,1,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,5,top left,Bro_ere,Bromus_erectus,2277,28,44,3*4,,,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,43,9,,,,,8,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,control,5,top left,Tra_ori,Tragopogon_orientalis,,5,10,,,,,8,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,16.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,4,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,27,47,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,43,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Bro_ere,Bromus_erectus,1401,4.5,8,2*2,,4,,,,,2,,,,,,1,,,2x2,4,,,,1,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Bro_ere,Bromus_erectus,1402,6,21,4*3,,12,,,,,1,,,,,,,,,3x2,6,,1,,1,,,,,1*0.5,0.5,,,,,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Bro_ere,Bromus_erectus,,33,5.5,,,,,,,,,,,,,,,,,,,,,,1,,,,,1.5*1,1.5,,,,,2,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Bro_ere,Bromus_erectus,1460,36.5,40,2*2,,4,,,,,,,,,,,,,,4x2,8,,2,,1,,,,,0.5*0.5,0.25,,,,,1,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,43.5,2.5,,,,,,,,,,,,,,,,1,,,,,,5,4,,,,,,,16,4,2,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,40,8,,,,,18,,2,2,3,4,,,,,,1,,,9,,,5,,1 rosette,,1,,,,19,4,4,0,1,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,17.5,39.5,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,16,3,0,0,0,dead Aug 18
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,8,14.5,,,,,11,,3,,,,,,,,,1,,,15,,,5,,2 rosettes,,,,,,22,6,5,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,7.5,17.5,,,,,16,,2,,,,,,,,,1,,,24,,,5,,4 rosettes,,,,,,21,5,6,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,5.5,15.5,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,20,5,5,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,15,35,,,,,8,,2,,,,,,,,,1,,,7,,,5,,1 rosette,,,,,,17,5,2,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,43.5,36.5,,,,,,,,,,,,,,,,1,,,12,,,5,,2 rosettes,,,,,,18.5,6,5,0,2,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,35,32.5,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,18.5,5,4,0,1,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,35,27,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,18,7,5,0,0,
20.08.2018,Lina,1_1,ambient,insect,1,bottem_left,Pla_lan,Plantago_lanceolata,,36,28,,,,,8,,2,,,,,,vllt neue Seedlinge?,,,,,,17,1,,5,,2 rosettes,,,,,,,NA,4,NA,0,
20.08.2018,Lina,1_1,ambient,insect,1,bottem_left,Pla_lan,Plantago_lanceolata,,24,27,,,,,8,,2,,,,,,,,,,,,7,,,5,,1 rosette,,1,,,,,NA,4,NA,1,
20.08.2018,Lina,1_1,ambient,insect,1,bottem_left,Pla_lan,Plantago_lanceolata,,36,35,,,,,,,,,,,,,,,,,,,5,,,5,,1 rosette,,,,,,,NA,4,NA,0,
20.08.2018,Lina,1_1,ambient,insect,1,bottem_left,Pla_lan,Plantago_lanceolata,,49,38,,,,,,,,,,,,,,,,,,,10,,,5,,2 rosettes,,,,,,,NA,3,NA,0,
06.11.2018,Martin,1_1,ambient,insect,1,bottom left,Sca_och,Scabiosa_ochroleuca,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,NA,NA,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Tra_ori,Tragopogon_orientalis,,21,2,,,,,,,,,,,,,,,,,,,39,1,,,,2 buds,,5,,,,34.5,11,,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Tra_ori,Tragopogon_orientalis,,38,4,,,,,12,,,,,,,,,,,,,,5,,,,,,,,,,,34,6,,0,0,
04.05.2018,Georg,1_1,ambient,insect,1,bottom left,Tra_ori,Tragopogon_orientalis,,9,42,,,,,19,,,,,,,,,,,,,,8,,,,,,,,,,,28.5,13,,0,0,
06.11.2018,Martin,1_1,ambient,insect,1,bottom left,Tri_pra,Trifolium_pratense,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,NA,NA,
10.05.2019,Julia,1_1,ambient,insect,1,bottom left,Pla_lan,Plantago_lanceolata,,25,26,,,,,10,,2,,,,,,,,,,,,8,,,,,1 rosette,,1,,,,,,,,,
10.05.2019,Julia,1_1,ambient,insect,1,bottom left,Tra_ori,Tragopogon_orientalis,,14,14,,,,,9,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,9,8,1*1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,58,20,2*2,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,61,13,3.5*3,,10.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2020,Martin,1_1,ambient,insect,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,67,11,1*2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
