date,person,plot,treatment,climate,transect,subplot,position,species,species_full,ID,x_coord,y_coord,new_bro20,rosette_spring_2020,area_spring_2020,number_leafs_spring_2020,number_rosettes,number_flowers_may_2020_before,number_flowers_02.-09.06.2020,number_flowers_oct_2020,seedling_spring_2020,seedling_autumn_2020,comments20,seedling_spring_2018,seedling_autumn_2018,seedling_spring_2019,seedling_autumn_2019,rosette_spring_2018,area_spring_2018,area_autumn_2018,rosette_spring_2019,area_spring_2019,number_flowers_spring_2019_after,number_flowers_spring_2019_before,number_flowers_fall_2019_after,leaf_length_spring_2018,leaf_length_autumn_2018,xleaf_spring_2018,xleaf_autumn_2018,xleaf_spring_2019,pla_xrosette_spring19,number_flowers_spring_2018_before,number_flowers_spring_2018_after,number_flowers_autumn_2018,flower_size,comments
27.04.2018,Martin,1_3,grazing,ambient,17,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,29,20,,,,,,,,,,,,NA,1,1,,1*1,1,,NA,,,,,NA,,NA,,,,1,0,,4.5,NA
27.04.2018,Lotte,1_3,grazing,ambient,17,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,14,48,,,,,,,,,,,,NA,0,,,4*4,16,,NA,,,,,NA,,NA,,,,6,0,,4/4.5/2/4,NA
27.04.2018,Lotte,1_3,grazing,ambient,17,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,4,25,,,,,,,,,,5,,NA,0,,,5*3,15,,0.5*0.5,0.25,,,,NA,,NA,,,,6,2,,4/4/4.5/3/3/3.5,NA
27.04.2018,Martin,1_3,grazing,ambient,17,4,8.50 - 9?,Ant_odo,Anthoxanthum_odoratum,NA,19.5,17.5,,,,,,,,,,,,NA,NA,,,4.5*3,13.5,,NA,,,,,NA,,NA,,,,13,0,,4/1.5/3.5/3.5/4/4/3/3/4/3/5/3/4,NA
27.04.2018,Martin,1_3,grazing,ambient,17,4,8.50 - 9?,Ant_odo,Anthoxanthum_odoratum,NA,15,17,,,,,,,,,,,,NA,NA,,,1*1,1,,NA,,,,,NA,,NA,,,,1,0,,3.5,NA
27.04.2018,Martin,1_3,grazing,ambient,17,4,8.50 - 9?,Ant_odo,Anthoxanthum_odoratum,NA,2,21,,,,,,,,,,,,NA,NA,,,1*1,1,,NA,,,,,NA,,NA,,,,1,0,,3,NA
27.04.2018,Martin,1_3,grazing,ambient,17,4,8.50 - 9?,Ant_odo,Anthoxanthum_odoratum,NA,36,42,,,,,,,,,,,,NA,NA,,,1*1,1,,NA,,,,,NA,,NA,,,,1,0,,4,NA
27.04.2018,Martin,1_3,grazing,ambient,17,4,8.50 - 9?,Ant_odo,Anthoxanthum_odoratum,NA,9.5,17,,,,,,,,,,,,NA,NA,,,1*1,1,,NA,,,,,NA,,NA,,,,1,0,,4,NA
27.04.2018,Martin,1_3,grazing,ambient,17,4,8.50 - 9?,Ant_odo,Anthoxanthum_odoratum,NA,34,44,,,,,,,,,,,,NA,NA,,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,0,,3,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,25,42,,,,,,,,,,,,NA,0,,1,4*4,16,,NA,,,,,NA,,NA,,,,4,0,,3.5/4/4,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,40,27,,,,,,,,,,,,NA,0,,1,4*4,16,,NA,,,,,NA,,NA,,,,4,0,,4/4/3.5,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,12,38,,,,,,,,,,,,NA,0,,1,3*3,9,,NA,,,,,NA,,NA,,,,2,0,,04. Apr,NA
25.04.2018,Martin,10_1,grazing,ambient,15,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,22,50,,,,,,,,,,,,NA,0,,,2*2,4,,NA,,,,,NA,,NA,,,,3,0,,04.04.2004,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,10,31,,,,,,,,,,,,NA,0,,,7*3,21,,NA,,,,,NA,,NA,,,,7,1,,3/5/5/4/4/4.5/4,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,26,23,,,,,,,,,,,,NA,0,,,4*3,12,,NA,,,,,NA,,NA,,,,3,1,,05.05.2003,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,5,05.05.1950,Ant_odo,Anthoxanthum_odoratum,NA,44,40,,,,,,,,,,,,NA,NA,,,5*4,20,,NA,,,,,NA,,NA,,,,4,0,,2.5/2.5/2/2,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,5,05.05.1950,Ant_odo,Anthoxanthum_odoratum,NA,24,14,,,,,,,,,,,,NA,NA,,,4*4,16,,NA,,,,,NA,,NA,,,,5,2,,5/6/4/4/4.5,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,5,05.05.1950,Ant_odo,Anthoxanthum_odoratum,NA,12,45,,,,,,,,,,,,NA,NA,,,4*4,16,,NA,,,,,NA,,NA,,,,5,1,,3/3/4/4.5/3,NA
25.04.2018,Lotte,10_1,grazing,ambient,15,5,05.05.1950,Ant_odo,Anthoxanthum_odoratum,NA,35,28,,,,,,,,,,,,1,NA,,,3*3,9,,NA,,,,,NA,,NA,,,,2,1,,03.05.2004,NA
25.04.2018,Martin,10_1,grazing,ambient,15,6,08.08.1950,Ant_odo,Anthoxanthum_odoratum,NA,43,26,,,,,,,,,,,,NA,NA,,,9*7,63,,NA,,,,,NA,,NA,,,,21,1,,3.5/4/3/5/5/5/3/4.5/5/4.5/5/3.5/4/4/5/5/4.5/2/3.5/4/4.5,NA
25.04.2018,Martin,10_1,grazing,ambient,15,6,08.08.1950,Ant_odo,Anthoxanthum_odoratum,NA,26,5,,,,,,,,,,,,NA,NA,,,5*4,20,,NA,,,,,NA,,NA,,,,0,0,,NA,NA
25.04.2018,Martin,10_1,grazing,ambient,15,6,08.08.1950,Ant_odo,Anthoxanthum_odoratum,NA,39,1,,,,,,,,,,,,NA,NA,,,2*3,6,,NA,,,,,NA,,NA,,,,NA,NA,,NA,NA
26.04.2018,Lotte,10_2,mowing,ambient,16,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,20,46,,,,,,,,,,,,NA,0,,,2*3,6,,NA,,,,,NA,,NA,,,,3,3,,3.5/3.5/4,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,50,18,,,,,,,,,,,,NA,0,5,,5*4,20,,NA,,,,,NA,,NA,,,,4,4,,4.5/5/4/5,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,40,10,,,,,,,,,,,,NA,0,5,,3*4,12,,NA,,,,,NA,,NA,,,,2,2,,05. Apr,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,0,31,,,,,,,,,,,,NA,0,5,,3*3,9,,NA,,,,,NA,,NA,,,,1,1,,4.5,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,4,21,,,,,,,,,,,,NA,0,5,,3*2.5,7.5,,NA,,,,,NA,,NA,,,,4,4,,4.5/5.5/4.5,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,19.5,16,,,,,,,,,,,,NA,0,5,,3*2,6,,NA,,,,,NA,,NA,,,,3,3,,3/4/2.5,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,44,17,,,,,,,,,,,,NA,0,5,,2*2,4,,NA,,,,,NA,,NA,,,,1,1,,3.5,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,24.5,22,,,,,,,,,,,,NA,0,5,,1*2,2,,NA,,,,,NA,,NA,,,,1,1,,4,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,30.5,30,,,,,,,,,,,,NA,0,5,,2*1,2,,NA,,,,,NA,,NA,,,,3,3,,03.03.2003,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,9,34,,,,,,,,,,,,NA,0,5,,1*1,1,,NA,,,,,NA,,NA,,,,1,1,,4,NA
26.04.2018,Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,12,4,,,,,,,,,,,,NA,0,5,,1*1,1,,NA,,,,,NA,,NA,,,,2,2,,2.5/4.5,NA
26.04.2019,Julia_Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,,34,36,,,,,,,,,,,,,0,5,,,,,0.5*0.5,0.25,,,,,,,,,,,,,,
26.04.2019,Julia_Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,,38,22,,,,,,,,,,,,,0,5,,,,,0.5*0.5,0.25,,,,,,,,,,,,,,
26.04.2019,Julia_Martin,10_2,mowing,ambient,16,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,,39,43,,,,,,,,,,,,,0,5,,,,,1*0.5,0.5,,,,,,,,,,,,,,
26.04.2019,Lotte_Julia,10_2,mowing,ambient,16,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,,21,25,,,,,,,,,,,,,0,3,,,,,NA,,,,,,,,,,,,,,,
26.04.2019,Lotte_Julia,10_2,mowing,ambient,16,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,,24,6,,,,,,,,,,,,,0,3,,,,,NA,,,,,,,,,,,,,,,
26.04.2019,Lotte_Julia,10_2,mowing,ambient,16,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,,14,1,,,,,,,,,,,,,0,3,,,,,2*1,2,,,,,,,,,,,,,,
26.04.2019,Lotte_Julia,10_2,mowing,ambient,16,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,,40,31,,,,,,,,,,,,,0,3,,,,,2*1,2,,,,,,,,,,,,,,
26.04.2019,martin,10_2,mowing,ambient,16,4,8.50 - 9,Ant_odo,Anthoxanthum_odoratum,,,,,,,,,,,,,,,,NA,2,,,,,NA,,,,,,,,,,,,,,,
26.04.2019,Lotte,10_2,mowing,ambient,16,5,07.07.1950,Ant_odo,Anthoxanthum_odoratum,,7,38,,,,,,,,,,,,,NA,35,,,,,1*1,1,,10,,,,,,,,,,,,
26.04.2019,Lotte_Julia,10_2,mowing,ambient,16,6,08.08.1950,Ant_odo,Anthoxanthum_odoratum,,20,25,,,,,,,,,,,,,NA,4,1,,,,1*0.5,0.5,,,,,,,,,,,,,,
26.04.2019,martin,10_2,mowing,ambient,16,8,04.04.1950,Ant_odo,Anthoxanthum_odoratum,,,,,,,,,,,,,,,,NA,7,,,,,NA,,,,,,,,,,,,,,,
05.11.2018,Lotte + Martin,2_2,grazing,future,19,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,NA,NA,,,,,,,,,,,,NA,1,,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
30.04.2018,Martin,2_2,grazing,future,19,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,9,22,,,,,,,,,,,,NA,0,1,,1*1,1,,NA,,,,,NA,,NA,,,,3,0,,3.5/4.5/3,NA
30.04.2018,Lotte + Georg,2_2,grazing,future,19,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,2,12.5,,,,,,,,,,,,NA,0,,,0.5*3.5,1.75,,NA,,,,,NA,,NA,,,,2,0,,03.05.2004,NA
30.04.2018,Martin,2_2,grazing,future,19,4,09.09.1950,Ant_odo,Anthoxanthum_odoratum,NA,21.5,14.5,,,,,,,,,,,,NA,NA,,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,0,,3.5,NA
30.04.2018,Martin,2_2,grazing,future,19,4,09.09.1950,Ant_odo,Anthoxanthum_odoratum,NA,17,20,,,,,,,,,,,,NA,NA,,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,0,,5,NA
30.04.2018,Lotte + Georg,2_2,grazing,future,19,5,7.50 - 8,Ant_odo,Anthoxanthum_odoratum,493,13,59,,,,,,,,,,,,NA,NA,,,2*3,6,,NA,,,,,NA,,NA,,,,5,0,,4/4/3.5/5.5/4,NA
30.04.2018,Lotte + Georg,2_2,grazing,future,19,5,7.50 - 8,Ant_odo,Anthoxanthum_odoratum,NA,14,7,,,,,,,,,,,,NA,NA,,,2.5*3.5,8.75,,NA,,,,,NA,,NA,,,,2,0,,04.02.2005,maybe 3 indiv?
30.04.2018,Lotte + Georg,2_2,grazing,future,19,5,7.50 - 8,Ant_odo,Anthoxanthum_odoratum,NA,24.5,22,,,,,,,,,,,,NA,NA,,,2.5*3,7.5,,NA,,,,,NA,,NA,,,,2,0,,03.03.2005,NA
30.04.2018,Lotte + Georg,2_2,grazing,future,19,5,7.50 - 8,Ant_odo,Anthoxanthum_odoratum,NA,5,2,,,,,,,,,,,,NA,NA,,,2.5*2,5,,NA,,,,,NA,,NA,,,,7,0,,3/3.5/3/3/3/3.5/3,NA
30.04.2018,Lotte + Georg,2_2,grazing,future,19,5,7.50 - 8,Ant_odo,Anthoxanthum_odoratum,NA,12,1.5,,,,,,,,,,,,NA,NA,,,1.5*1.5,2.25,,NA,,,,,NA,,NA,,,,4,0,,3.5/2.5/2.5/2.5,NA
07.05.2019,Julia_Martin,2_2,grazing,future,19,6,01.01.1950,Ant_odo,Anthoxanthum_odoratum,,,,,,,,,,,,,,,,NA,1,,,,,NA,,,,,,,,,,,,,,,
30.04.2018,Lotte + Georg,2_2,grazing,future,19,7,02.02.1950,Ant_odo,Anthoxanthum_odoratum,NA,39,41,,,,,,,,,,,,NA,NA,1,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,0,,4,NA
06.05.2019,Julia_Martin,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,,4.5,2,,0.5*0.5,0.25,,,1,,,,,,,0,3,,,,,1*0.5,0.5,,1,,,,,,,,,,,,
06.05.2019,Julia_Martin,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,,19,11.5,,2*2,4,,,0,,,,,,,0,3,,,,,0.5*1,0.5,,,,,,,,,,,,,,
06.05.2019,Julia_Martin,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,,16,13,,,,,,,,,,,,,0,3,,,,,1*1,1,,,,,,,,,,,,,,
06.05.2019,Julia_Martin,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,,29,23,,,,,,,,,,,,,0,3,,,,,1*2,2,,,,,,,,,,,,,,
06.05.2019,Julia_Martin,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,,49,33.5,,2*1,2,,,0,,,,,,,0,3,,,,,0.5*0.5,0.25,1,1,,,,,,,,,,,,
30.04.2018,Lotte + Georg,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,39,43,,,,,,,,,,,,NA,0,3,,4*3,12,,NA,,,,,NA,,NA,,,,9,9,,4/4.5/3.5/3/3/4/4/3/3.5,NA
30.04.2018,Lotte + Georg,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,27.5,18,,,,,,,,,,,,NA,0,3,,3*2,6,,NA,,,,,NA,,NA,,,,4,4,,3/2.5/3/4,NA
30.04.2018,Lotte + Georg,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,8,20,,,,,,,,,,,,NA,0,3,,1*1.5,1.5,,NA,,,,,NA,,NA,,,,1,1,,4.5,NA
30.04.2018,Lotte + Georg,2_5,mowing,future,20,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,NA,17.5,28,,2*1,2,,,0,,,,,,NA,0,3,,1*1,1,,2*2,4,,,,NA,,NA,,,,2,2,,03.05.2003,NA
07.05.2019,Julia_Martin,2_5,mowing,future,20,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,,44,9,,,,,,,,,,,,,0,,,,,,2*1,2,1,1,,,,,,,,,,,,
07.05.2019,Julia_Martin,2_5,mowing,future,20,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,,40,9.5,,1*1,1,,,,,,,,,,0,,,,,,1*1,1,0,1,,,,,,,,,,,,
07.05.2019,Julia_Martin,2_5,mowing,future,20,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,,6,13,,,,,,,,,,,,,0,,,,,,0.5*0.5,0.25,1,1,,,,,,,,,,,,
30.04.2018,Martin,2_5,mowing,future,20,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,30,6,,,,,,,,,,,,NA,0,,,2*3.5,7,,NA,,,,,NA,,NA,,,,7,7,,4.5/3/5/3.5/3/4/4.5,NA
30.04.2018,Martin,2_5,mowing,future,20,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,3.5,37,,,,,,,,,,,,NA,0,,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,1,,4,NA
30.04.2018,Martin,2_5,mowing,future,20,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,16.5,9,,,,,,,,,,,,NA,0,,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,1,,4,NA
30.04.2018,Lotte + Georg,2_5,mowing,future,20,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,22,10,,,,,,,,,,,,NA,0,1,,2*3.5,7,,NA,,,,,NA,,NA,,,,4,4,,3/3.5/4/4,NA
30.04.2018,Lotte + Georg,2_5,mowing,future,20,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,29.5,8,,,,,,,,,,,,NA,0,1,,1*1.5,1.5,,NA,,,,,NA,,NA,,,,1,1,,3.5,NA
07.05.2019,Lotte,2_5,mowing,future,20,4,8.50 - 9,Ant_odo,,,22,10,,,,,,,,,,,,,NA,3,,,,,0.5*0.5,0.25,,,,,,,,,,,,,,
15.04.2020,Martin,2_5,mowing,future,20,4,8.50 - 9,Ant_odo,Anthoxanthum_odoratum,,37,13,,2*1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.2018,Martin,2_5,mowing,future,20,4,8.50 - 9,Ant_odo,Anthoxanthum_odoratum,NA,36,5.5,,,,,,,,,,,,NA,NA,3,,2*0.5,1,,1*1,1,0,2,,NA,,NA,,,,1,1,,3,NA
30.04.2018,Martin,2_5,mowing,future,20,4,8.50 - 9,Ant_odo,Anthoxanthum_odoratum,NA,26.5,12,,,,,,,,,,,,NA,NA,3,,1*1,1,,3*2,6,3,3,,NA,,NA,,,,2,2,,02.05.2002,NA
30.04.2018,Martin,2_5,mowing,future,20,4,8.50 - 9,Ant_odo,Anthoxanthum_odoratum,NA,36,13.5,,,,,,,,,,,,NA,NA,3,,1*1,1,,NA,,,,,NA,,NA,,,,2,2,,03.05.2003,NA
30.04.2018,Martin,2_5,mowing,future,20,4,8.50 - 9,Ant_odo,Anthoxanthum_odoratum,NA,40,4.5,,,,,,,,,,,,NA,NA,3,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,1,,4,NA
24.05.2019,Martin,2_5,mowing,future,20,5,7.50 - 8,Ant_odo,Anthoxanthum_odoratum,,20,20,,,,,,,,,,,,,NA,,,,,,0.5*0.5,0.25,,1,,,,,,,,,,,,
06.05.2019,Martin,2_5,mowing,future,20,6,1.50 - 2,Ant_odo,Anthoxanthum_odoratum,,0,28,,,,,,,,,,,,,NA,1,,,,,2*2,4,2,2,,,,,,,,,,,,
06.05.2019,Martin,2_5,mowing,future,20,6,1.50 - 2,Ant_odo,Anthoxanthum_odoratum,,4,33,,,,,,,,,,,,,NA,1,,,,,0.5*0.5,0.25,1,1,,,,,,,,,,,,
06.05.2019,Martin,2_5,mowing,future,20,6,1.50 - 2,Ant_odo,Anthoxanthum_odoratum,,8,32,,,,,,,,,,,,,NA,1,,,,,1*0.5,0.5,1,1,,,,,,,,,,,,
06.05.2019,Martin,2_5,mowing,future,20,6,1.50 - 2,Ant_odo,Anthoxanthum_odoratum,,18,48,,,,,,,,,,,,,NA,1,,,,,4*4,16,2,4,,,,,,,,,,,,
06.05.2019,Martin,2_5,mowing,future,20,6,1.50 - 2,Ant_odo,Anthoxanthum_odoratum,,41,30,,,,,,,,,,,,,NA,1,,,,,1*1,1,1,1,,,,,,,,,,,,
06.05.2019,Martin,2_5,mowing,future,20,6,1.50 - 2,Ant_odo,Anthoxanthum_odoratum,,38,21,,,,,,,,,,,,,NA,1,,,,,0.5*0.5,0.25,,,,,,,,,,,,,,
06.05.2019,Lotte,2_5,mowing,future,20,7,05.05.1950,Ant_odo,Anthoxanthum_odoratum,,36,42,,2*2,,,,1,,,,,,,NA,1,,,,,3*2,6,,,,,,,,,,,,,,
06.05.2020,Lotte,2_5,mowing,future,20,7,05.05.1950,Ant_odo,Anthoxanthum_odoratum,,35,26,,2*1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2020,Lotte,2_5,mowing,future,20,7,05.05.1950,Ant_odo,Anthoxanthum_odoratum,,27,33,,2*3,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2019,Lotte,2_5,mowing,future,20,8,04.04.1950,Ant_odo,Anthoxanthum_odoratum,,32,32,,,,,,,,,,,,,NA,1,,,,,1*1,1,,,,,,,,,,,,,,
06.05.2019,Lotte,2_5,mowing,future,20,8,04.04.1950,Ant_odo,Anthoxanthum_odoratum,,6,43,,1*1,,,,,,,,,,,NA,1,,,,,1*1,1,,,,,,,,,,,,,,
